team,year,medal,sport,name
United States,1904,Bronze,Wrestling,"Frederick Charles ""Fred"" Warmbold"
Germany,1904,Silver,Gymnastics,Wilhelm Weber
Germany,1904,Bronze,Gymnastics,Wilhelm Weber
Germany,1904,Bronze,Athletics,Paul Ludwig Weinstein
United States,1904,Silver,Wrestling,"August ""Gus"" Wester, Jr."
United States,1904,Silver,Cycling,George Ellsworth Wiley
United States,1904,Bronze,Cycling,George Ellsworth Wiley
United States,1904,Bronze,Athletics,"Louis Guy ""Lou"" Wilkins"
United States,1904,Silver,Archery,"Robert W. Williams, Jr."
United States,1904,Silver,Archery,"Robert W. Williams, Jr."
United States,1904,Bronze,Gymnastics,Ralph Charles Wilson
United States,1904,Bronze,Wrestling,Jerry Elmer Winholtz
United States,1904,Silver,Weightlifting,"Frederick ""Fred"" Winters"
